ANO,MES,EMPRESA,ORIGEM,DESTINO,TARIFA,ASSENTOS
2017,8,TAM,SBRF,SBSP,644,5
2017,8,TAM,SBRF,SBSP,619,2
2017,8,TAM,SBRF,SBSP,"707,9",4
2017,8,TAM,SBRF,SBSP,"707,91",1
2017,8,TAM,SBRF,SBSP,186,4
2017,8,TAM,SBRF,SBSP,"679,9",1
2017,8,TAM,SBRF,SBSP,"371,9",17
2017,8,TAM,SBRF,SBSP,"438,9",14
2017,8,TAM,SBRF,SBSP,"347,91",1
2017,8,TAM,SBRF,SBSP,406,3
2017,8,TAM,SBRF,SBSP,456,4
2017,8,TAM,SBRF,SBSP,"512,46",1
2017,8,TAM,SBRF,SBSP,307,3
2017,8,TAM,SBRF,SBSP,"966,89",1
2017,8,TAM,SBRF,SBSP,674,1
2017,8,TAM,SBRF,SBSP,384,2
2017,8,TAM,SBRF,SBSP,"707,89",2
2017,8,TAM,SBRF,SBSP,"513,9",1
2017,8,TAM,SBRF,SBSP,"737,9",2
2017,8,TAM,SBRF,SBSP,"337,01",1
2017,8,TAM,SBRF,SBSP,"283,92",5
2017,8,TAM,SBRF,SBSP,"619,01",1
2017,8,TAM,SBRF,SBSP,"835,9",2
2017,8,TAM,SBRF,SBSP,"401,9",9
2017,8,TAM,SBRF,SBSP,"509,95",1
2017,8,TAM,SBRF,SBSP,486,1
2017,8,TAM,SBRF,SBSP,"316,31",20
2017,8,TAM,SBRF,SBSP,436,1
2017,8,TAM,SBRF,SBSP,"458,45",1
2017,8,TAM,SBRF,SBSP,"419,99",2
2017,8,TAM,SBRF,SBSP,488,2
2017,8,TAM,SBRF,SBSP,166,96
2017,8,TAM,SBRF,SBSP,337,3
2017,9,AZU,SBRF,SBSP,"399,9",7
2017,9,AZU,SBRF,SBSP,"375,9",1
2017,9,AZU,SBRF,SBSP,"349,59",2
2017,9,AZU,SBRF,SBSP,"226,32",1
2017,9,AZU,SBRF,SBSP,"552,9",1
2017,9,AZU,SBRF,SBSP,"902,61",1
2017,9,AZU,SBRF,SBSP,"348,42",1
2017,9,AZU,SBRF,SBSP,"558,9",2
2017,9,AZU,SBRF,SBSP,"379,9",5
2017,9,AZU,SBRF,SBSP,"1232,9",1
2017,9,AZU,SBRF,SBSP,"448,9",9
2017,9,AZU,SBRF,SBSP,"429,9",1
2017,9,AZU,SBRF,SBSP,"478,9",7
2017,9,AZU,SBRF,SBSP,"392,7",3
2017,9,AZU,SBRF,SBSP,"581,9",1
2017,9,AZU,SBRF,SBSP,"359,9",1
2017,9,AZU,SBRF,SBSP,"600,9",1
2017,9,AZU,SBRF,SBSP,"323,82",2
2017,9,AZU,SBRF,SBSP,"289,43",2
2017,9,AZU,SBRF,SBSP,517,1
2017,9,AZU,SBRF,SBSP,"630,9",2
2017,9,AZU,SBRF,SBSP,"490,9",1
2017,9,AZU,SBRF,SBSP,"439,9",3
2017,9,AZU,SBRF,SBSP,"409,9",2
2017,9,AZU,SBRF,SBSP,"1497,78",1
2017,9,AZU,SBRF,SBSP,"219,25",4
2017,9,AZU,SBRF,SBSP,"882,9",1
2017,9,AZU,SBRF,SBSP,"409,4",1
2017,9,AZU,SBRF,SBSP,"245,1",2
2017,9,AZU,SBRF,SBSP,"370,14",2
2017,9,AZU,SBRF,SBSP,337,2
2017,9,AZU,SBRF,SBSP,"386,91",4
2017,9,AZU,SBRF,SBSP,"682,9",1
2017,9,AZU,SBRF,SBSP,"443,9",1
2017,9,AZU,SBRF,SBSP,"281,61",1
2017,9,AZU,SBRF,SBSP,"378,23",1
2017,9,AZU,SBRF,SBSP,"1244,61",1
2017,9,AZU,SBRF,SBSP,613,1
2017,9,AZU,SBRF,SBSP,"282,9",21
2017,9,AZU,SBRF,SBSP,"424,9",7
2017,9,AZU,SBRF,SBSP,"268,9",1
2017,9,AZU,SBRF,SBSP,"256,58",5
2017,9,AZU,SBRF,SBSP,"399,52",3
2017,9,AZU,SBRF,SBSP,"438,9",2
2017,9,AZU,SBRF,SBSP,460,2
2017,9,AZU,SBRF,SBSP,"338,31",1
2017,9,AZU,SBRF,SBSP,"405,9",1
2017,9,AZU,SBRF,SBSP,"368,01",1
2017,9,AZU,SBRF,SBSP,"358,2",1
2017,9,AZU,SBRF,SBSP,"394,9",10
2017,9,AZU,SBRF,SBSP,"312,9",7
2017,9,AZU,SBRF,SBSP,"388,9",1
2017,9,AZU,SBRF,SBSP,398,2
2017,9,AZU,SBRF,SBSP,"365,31",1
2017,9,AZU,SBRF,SBSP,"269,6",1
2017,9,AZU,SBRF,SBSP,"522,9",2
2017,9,AZU,SBRF,SBSP,"547,31",1
2017,9,AZU,SBRF,SBSP,"426,22",1
2017,9,AZU,SBRF,SBSP,"382,41",7
2017,9,AZU,SBRF,SBSP,"355,12",2
2017,9,AZU,SBRF,SBSP,"418,21",1
2017,9,AZU,SBRF,SBSP,"250,32",6
2017,9,AZU,SBRF,SBSP,"327,12",2
2017,9,AZU,SBRF,SBSP,"395,01",4
2017,9,AZU,SBRF,SBSP,"418,9",1
2017,9,AZU,SBRF,SBSP,"361,25",1
2017,9,AZU,SBRF,SBSP,"408,9",6
2017,9,AZU,SBRF,SBSP,"512,9",5
2017,9,AZU,SBRF,SBSP,"469,9",4
2017,9,GLO,SBRF,SBSP,"475,9",11
2017,9,GLO,SBRF,SBSP,"103,9",2
2017,9,GLO,SBRF,SBSP,"249,9",221
2017,9,GLO,SBRF,SBSP,"357,9",4
2017,9,GLO,SBRF,SBSP,"1105,9",3
2017,9,GLO,SBRF,SBSP,"365,9",12
2017,9,GLO,SBRF,SBSP,"312,9",1
2017,9,GLO,SBRF,SBSP,"803,9",1
2017,9,GLO,SBRF,SBSP,"722,9",34
2017,9,GLO,SBRF,SBSP,"935,9",1
2017,9,GLO,SBRF,SBSP,"402,9",12
2017,9,GLO,SBRF,SBSP,"789,9",10
2017,9,GLO,SBRF,SBSP,"966,9",36
2017,9,GLO,SBRF,SBSP,"450,9",1
2017,9,GLO,SBRF,SBSP,"238,9",5
2017,9,GLO,SBRF,SBSP,"627,9",1
2017,9,GLO,SBRF,SBSP,"515,9",48
2017,9,GLO,SBRF,SBSP,"550,9",16
2017,9,GLO,SBRF,SBSP,"960,9",1
2017,9,GLO,SBRF,SBSP,"1474,55",1
2017,9,GLO,SBRF,SBSP,"455,9",1
2017,9,GLO,SBRF,SBSP,"699,9",12
2017,9,GLO,SBRF,SBSP,"818,9",1
2017,9,GLO,SBRF,SBSP,"374,9",2
2017,9,GLO,SBRF,SBSP,"392,9",2
2017,9,GLO,SBRF,SBSP,"825,9",13
2017,9,GLO,SBRF,SBSP,"525,9",2
2017,9,GLO,SBRF,SBSP,"280,9",49
2017,9,GLO,SBRF,SBSP,"435,9",1
2017,9,GLO,SBRF,SBSP,"504,9",10
2017,9,GLO,SBRF,SBSP,"505,9",26
2017,9,GLO,SBRF,SBSP,"533,9",50
2017,9,GLO,SBRF,SBSP,"310,9",30
2017,9,GLO,SBRF,SBSP,"380,9",4
2017,9,GLO,SBRF,SBSP,"259,9",268
2017,9,GLO,SBRF,SBSP,"306,9",2
2017,9,GLO,SBRF,SBSP,"574,9",3
2017,9,GLO,SBRF,SBSP,"1098,9",18
2017,9,GLO,SBRF,SBSP,"287,9",2
2017,9,GLO,SBRF,SBSP,"713,9",7
2017,9,GLO,SBRF,SBSP,"1113,02",1
2017,9,GLO,SBRF,SBSP,"651,9",2
2017,9,GLO,SBRF,SBSP,"483,9",11
2017,9,GLO,SBRF,SBSP,"336,9",1
2017,9,GLO,SBRF,SBSP,"590,9",1
2017,9,GLO,SBRF,SBSP,"924,9",1
2017,9,GLO,SBRF,SBSP,"360,9",5
2017,9,GLO,SBRF,SBSP,"293,78",2
2017,9,GLO,SBRF,SBSP,"882,9",4
2017,9,GLO,SBRF,SBSP,"473,9",81
2017,9,GLO,SBRF,SBSP,"1463,91",1
2017,9,GLO,SBRF,SBSP,"398,9",7
2017,9,GLO,SBRF,SBSP,"231,9",4
2017,9,GLO,SBRF,SBSP,"855,9",1
2017,9,GLO,SBRF,SBSP,"416,9",2
2017,9,GLO,SBRF,SBSP,"698,9",66
2017,9,GLO,SBRF,SBSP,"1135,9",2
2017,9,GLO,SBRF,SBSP,"289,9",355
2017,9,GLO,SBRF,SBSP,"300,9",6
2017,9,GLO,SBRF,SBSP,"1347,89",1
2017,9,GLO,SBRF,SBSP,"341,9",1
2017,9,GLO,SBRF,SBSP,"735,9",8
2017,9,GLO,SBRF,SBSP,"785,9",23
2017,9,GLO,SBRF,SBSP,"842,9",2
2017,9,GLO,SBRF,SBSP,"371,9",2
2017,9,GLO,SBRF,SBSP,"941,9",10
2017,9,GLO,SBRF,SBSP,"489,9",64
2017,9,GLO,SBRF,SBSP,"387,9",3
2017,9,GLO,SBRF,SBSP,"498,9",13
2017,9,GLO,SBRF,SBSP,"449,9",2
2017,9,GLO,SBRF,SBSP,"845,9",8
2017,9,GLO,SBRF,SBSP,"460,9",1
2017,9,GLO,SBRF,SBSP,"925,9",1
2017,9,GLO,SBRF,SBSP,"479,9",26
2017,9,GLO,SBRF,SBSP,"698,89",1
2017,9,GLO,SBRF,SBSP,"875,9",2
2017,9,GLO,SBRF,SBSP,"244,9",3
2017,9,GLO,SBRF,SBSP,"582,9",13
2017,9,GLO,SBRF,SBSP,"945,9",1
2017,9,GLO,SBRF,SBSP,"609,9",10
2017,9,GLO,SBRF,SBSP,"481,9",2
2017,9,GLO,SBRF,SBSP,"666,9",89
2017,9,GLO,SBRF,SBSP,"755,9",23
2017,9,GLO,SBRF,SBSP,"740,82",2
2017,9,GLO,SBRF,SBSP,"637,9",21
2017,9,GLO,SBRF,SBSP,"413,9",2
2017,9,GLO,SBRF,SBSP,"429,9",137
2017,9,GLO,SBRF,SBSP,"1248,24",1
2017,9,GLO,SBRF,SBSP,"528,9",18
2017,9,GLO,SBRF,SBSP,"372,9",10
2017,9,GLO,SBRF,SBSP,"648,9",2
2017,9,GLO,SBRF,SBSP,"529,3",1
2017,9,GLO,SBRF,SBSP,"346,9",4
